Date,Invesco Physical Gold A
2010-03,48584.0193550439
2010-04,51988.30644862912
2010-05,57588.622520746096
2010-06,59497.69514910603
2010-07,52655.944786879656
2010-08,57659.35475425161
2010-09,56186.631688684545
2010-10,57016.610484962446
2010-11,62437.65770523446
2010-12,61904.86938888331
2011-01,56840.37134936019
2011-02,59812.34739418379
2011-03,59391.77204794967
2011-04,60583.77185158448
2011-05,62618.978606367185
2011-06,61060.66119440444
2011-07,66937.17322683684
2011-08,73554.51275962274
2011-09,70307.05779198227
2011-10,72068.56965921966
2011-11,76240.75917166994
2011-12,71289.61499057963
2012-01,77536.694602986
2012-02,77121.91333081976
2012-03,72902.0986305483
2012-04,73179.60356752647
2012-05,73554.4628005474
2012-06,74338.23738322326
2012-07,77302.69394675345
2012-08,76520.73655509308
2012-09,80397.55087723739
2012-10,77431.86690968282
2012-11,77781.34573430214
2012-12,73797.41179665332
2013-01,71883.53618453114
2013-02,70783.35989430198
2013-03,73012.7374599469
2013-04,65730.20995590548
2013-05,62706.78152050917
2013-06,53291.4029777046
2013-07,57899.48915376816
2013-08,61614.12516778066
2013-09,57421.42022293375
2013-10,56736.048918435576
2013-11,53806.22921286884
2013-12,50915.925773934454
2014-01,54087.122044869306
2014-02,56112.824472320855
2014-03,54736.31590949086
2014-04,54348.715018532464
2014-05,53682.40644678186
2014-06,56235.14937252324
2014-07,56103.45902003159
2014-08,56932.52939150967
2014-09,56450.397319398915
2014-10,54274.659299270905
2014-11,55312.75525141874
2014-12,57658.70892232204
2015-01,65066.478344023184
2015-02,63034.55781520758
2015-03,64381.727852864395
2015-04,61406.31219545758
2015-05,63364.6686388317
2015-06,61054.36949306593
2015-07,58422.269863573296
2015-08,59028.17386458903
2015-09,57992.17750006954
2015-10,60466.20989079362
2015-11,58528.992686379715
2015-12,56886.06346541514
2016-01,59353.97019753993
2016-02,66113.54338693018
2016-03,63328.33692796181
2016-04,65708.74827813488
2016-05,63326.03756347711
2016-06,69319.30929714622
2016-07,70357.96110902884
2016-08,68516.76265898945
2016-09,69023.48992155246
2016-10,67684.88928737755
2016-11,64514.77040220026
2016-12,64033.882297912
2017-01,65660.95019823826
2017-02,68985.12055934838
2017-03,67786.2413723644
2017-04,67447.69318945527
2017-05,65678.82345272506
2017-06,63351.49053438196
2017-07,62899.04184538234
2017-08,64546.61326918158
2017-09,63232.002028686016
2017-10,63491.06558790775
2017-11,62847.529106577924
